style,quality,session_file,relative_path,stroke_index,start_time,peak_time,end_time
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,117,0.57,1.17,1.77
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,243,1.83,2.43,3.03
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,329,2.69,3.29,3.89
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,467,4.07,4.67,5.27
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,617,5.57,6.17,6.77
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,701,6.41,7.01,7.61
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,914,8.54,9.14,9.74
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,998,9.38,9.98,10.58
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,1138,10.78,11.38,11.98
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,1223,11.63,12.23,12.83
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,1364,13.04,13.64,14.24
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,1592,15.32,15.92,16.52
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,1900,18.4,19.0,19.6
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,1981,19.21,19.81,20.41
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,2128,20.68,21.28,21.88
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,2273,22.13,22.73,23.33
Breast,bad,session_6fbb9911_20260212_2350.csv,Breast\Bad\session_6fbb9911_20260212_2350.csv,92,0.32,0.92,1.52
Breast,bad,session_6fbb9911_20260212_2350.csv,Breast\Bad\session_6fbb9911_20260212_2350.csv,205,1.45,2.05,2.65
Breast,bad,session_6fbb9911_20260212_2350.csv,Breast\Bad\session_6fbb9911_20260212_2350.csv,325,2.65,3.25,3.85
Breast,bad,session_6fbb9911_20260212_2350.csv,Breast\Bad\session_6fbb9911_20260212_2350.csv,453,3.93,4.53,5.13
Breast,bad,session_6fbb9911_20260212_2350.csv,Breast\Bad\session_6fbb9911_20260212_2350.csv,570,5.1,5.7,6.3
Breast,bad,session_6fbb9911_20260212_2350.csv,Breast\Bad\session_6fbb9911_20260212_2350.csv,708,6.48,7.08,7.68
Breast,bad,session_6fbb9911_20260212_2350.csv,Breast\Bad\session_6fbb9911_20260212_2350.csv,834,7.74,8.34,8.94
Breast,bad,session_6fbb9911_20260212_2350.csv,Breast\Bad\session_6fbb9911_20260212_2350.csv,958,8.98,9.58,10.18
