style,quality,session_file,relative_path,num_strokes,stroke_csvs_written
Breast,bad,cleaned_session_e0665051_20260419_0147.csv,Breast\Bad\cleaned_session_e0665051_20260419_0147.csv,16,16
Breast,bad,session_6fbb9911_20260212_2350.csv,Breast\Bad\session_6fbb9911_20260212_2350.csv,19,19
Breast,bad,session_8c44fd34_20260212_2348.csv,Breast\Bad\session_8c44fd34_20260212_2348.csv,15,15
Breast,good,session_04c9cee2_20260213_2103.csv,Breast\Good\session_04c9cee2_20260213_2103.csv,12,12
Breast,good,session_0af11f2c_20260212_2349.csv,Breast\Good\session_0af11f2c_20260212_2349.csv,10,10
Breast,good,session_3e322fe1_20260213_2058.csv,Breast\Good\session_3e322fe1_20260213_2058.csv,10,10
Breast,good,session_5cad9c1a_20260212_2345.csv,Breast\Good\session_5cad9c1a_20260212_2345.csv,9,9
Butterfly,bad,butter(4).csv,Butterfly\Bad\butter(4).csv,8,8
Butterfly,bad,butter(5).csv,Butterfly\Bad\butter(5).csv,8,8
Butterfly,bad,cleaned_allbad.csv,Butterfly\Bad\cleaned_allbad.csv,10,10
Butterfly,good,butter(1).csv,Butterfly\Good\butter(1).csv,14,14
Butterfly,good,butter(2).csv,Butterfly\Good\butter(2).csv,10,10
Butterfly,good,butter(3).csv,Butterfly\Good\butter(3).csv,10,10
Butterfly,good,butter(6).csv,Butterfly\Good\butter(6).csv,9,9
Butterfly,good,cleaned_allgood.csv,Butterfly\Good\cleaned_allgood.csv,10,10
Butterfly,good,cleaned_correct.csv,Butterfly\Good\cleaned_correct.csv,9,9
Freestyle,bad,badfree.csv,Freestyle\Bad\badfree.csv,19,19
Freestyle,bad,cleaned_session_22cc3a6b_20260419_0129.csv,Freestyle\Bad\cleaned_session_22cc3a6b_20260419_0129.csv,13,13
Freestyle,bad,session_05cffe03_20260215_1636.csv,Freestyle\Bad\session_05cffe03_20260215_1636.csv,11,11
Freestyle,bad,session_8adc1e4a_20260213_0019.csv,Freestyle\Bad\session_8adc1e4a_20260213_0019.csv,10,10
Freestyle,good,session_1663d122_20260213_0023.csv,Freestyle\Good\session_1663d122_20260213_0023.csv,10,10
Freestyle,good,session_2903622f_20260213_0020.csv,Freestyle\Good\session_2903622f_20260213_0020.csv,11,11
Freestyle,good,session_46ecf087_20260213_0022.csv,Freestyle\Good\session_46ecf087_20260213_0022.csv,15,15
