style,quality,session_file,relative_path,stroke_index,start_time,peak_time,end_time
Breast,,session_085052e7_20260213_2105.csv,Breast\session_085052e7_20260213_2105.csv,87,0.27,0.87,1.47
Breast,,session_085052e7_20260213_2105.csv,Breast\session_085052e7_20260213_2105.csv,183,1.23,1.83,2.43
Breast,,session_085052e7_20260213_2105.csv,Breast\session_085052e7_20260213_2105.csv,300,2.4,3.0,3.6
Breast,,session_085052e7_20260213_2105.csv,Breast\session_085052e7_20260213_2105.csv,516,4.56,5.16,5.76
Breast,,session_085052e7_20260213_2105.csv,Breast\session_085052e7_20260213_2105.csv,636,5.76,6.36,6.96
Breast,,session_085052e7_20260213_2105.csv,Breast\session_085052e7_20260213_2105.csv,748,6.88,7.48,8.08
Breast,,session_085052e7_20260213_2105.csv,Breast\session_085052e7_20260213_2105.csv,913,8.53,9.13,9.73
Breast,,session_085052e7_20260213_2105.csv,Breast\session_085052e7_20260213_2105.csv,1026,9.66,10.26,10.86
Breast,,session_085052e7_20260213_2105.csv,Breast\session_085052e7_20260213_2105.csv,1154,10.94,11.54,12.14
Breast,,session_085052e7_20260213_2105.csv,Breast\session_085052e7_20260213_2105.csv,1268,12.08,12.68,13.28
Breast,,session_085052e7_20260213_2105.csv,Breast\session_085052e7_20260213_2105.csv,1377,13.17,13.77,14.37
Breast,,session_30dfba89_20260212_2346.csv,Breast\session_30dfba89_20260212_2346.csv,94,0.34,0.94,1.54
Breast,,session_30dfba89_20260212_2346.csv,Breast\session_30dfba89_20260212_2346.csv,203,1.43,2.03,2.63
Breast,,session_30dfba89_20260212_2346.csv,Breast\session_30dfba89_20260212_2346.csv,324,2.64,3.24,3.84
Breast,,session_30dfba89_20260212_2346.csv,Breast\session_30dfba89_20260212_2346.csv,446,3.86,4.46,5.06
Breast,,session_30dfba89_20260212_2346.csv,Breast\session_30dfba89_20260212_2346.csv,565,5.05,5.65,6.25
Breast,,session_30dfba89_20260212_2346.csv,Breast\session_30dfba89_20260212_2346.csv,686,6.26,6.86,7.46
Breast,,session_30dfba89_20260212_2346.csv,Breast\session_30dfba89_20260212_2346.csv,818,7.58,8.18,8.78
Breast,,session_30dfba89_20260212_2346.csv,Breast\session_30dfba89_20260212_2346.csv,949,8.89,9.49,10.09
Breast,,session_30dfba89_20260212_2346.csv,Breast\session_30dfba89_20260212_2346.csv,1082,10.22,10.82,11.42
Breast,,session_30dfba89_20260212_2346.csv,Breast\session_30dfba89_20260212_2346.csv,1214,11.54,12.14,12.74
Breast,,session_30dfba89_20260212_2346.csv,Breast\session_30dfba89_20260212_2346.csv,1336,12.76,13.36,13.96
Breast,,session_30dfba89_20260212_2346.csv,Breast\session_30dfba89_20260212_2346.csv,1472,14.12,14.72,15.32
Breast,,session_40d89f7c_20260213_2100.csv,Breast\session_40d89f7c_20260213_2100.csv,71,0.11,0.71,1.31
Breast,,session_40d89f7c_20260213_2100.csv,Breast\session_40d89f7c_20260213_2100.csv,167,1.07,1.67,2.27
Breast,,session_40d89f7c_20260213_2100.csv,Breast\session_40d89f7c_20260213_2100.csv,279,2.19,2.79,3.39
Breast,,session_40d89f7c_20260213_2100.csv,Breast\session_40d89f7c_20260213_2100.csv,399,3.39,3.99,4.59
Breast,,session_40d89f7c_20260213_2100.csv,Breast\session_40d89f7c_20260213_2100.csv,510,4.5,5.1,5.7
Breast,,session_40d89f7c_20260213_2100.csv,Breast\session_40d89f7c_20260213_2100.csv,626,5.66,6.26,6.86
Breast,,session_40d89f7c_20260213_2100.csv,Breast\session_40d89f7c_20260213_2100.csv,773,7.13,7.73,8.33
Breast,,session_40d89f7c_20260213_2100.csv,Breast\session_40d89f7c_20260213_2100.csv,975,9.15,9.75,10.35
Breast,,session_40d89f7c_20260213_2100.csv,Breast\session_40d89f7c_20260213_2100.csv,1086,10.26,10.86,11.46
Breast,,session_40d89f7c_20260213_2100.csv,Breast\session_40d89f7c_20260213_2100.csv,1191,11.31,11.91,12.51
Breast,,session_75ddbb8a_20260213_2102.csv,Breast\session_75ddbb8a_20260213_2102.csv,86,0.26,0.86,1.46
Breast,,session_75ddbb8a_20260213_2102.csv,Breast\session_75ddbb8a_20260213_2102.csv,207,1.47,2.07,2.67
Breast,,session_75ddbb8a_20260213_2102.csv,Breast\session_75ddbb8a_20260213_2102.csv,324,2.64,3.24,3.84
Breast,,session_75ddbb8a_20260213_2102.csv,Breast\session_75ddbb8a_20260213_2102.csv,415,3.55,4.15,4.75
Breast,,session_75ddbb8a_20260213_2102.csv,Breast\session_75ddbb8a_20260213_2102.csv,521,4.61,5.21,5.81
Breast,,session_75ddbb8a_20260213_2102.csv,Breast\session_75ddbb8a_20260213_2102.csv,629,5.69,6.29,6.89
Breast,,session_75ddbb8a_20260213_2102.csv,Breast\session_75ddbb8a_20260213_2102.csv,729,6.69,7.29,7.89
Breast,,session_75ddbb8a_20260213_2102.csv,Breast\session_75ddbb8a_20260213_2102.csv,842,7.82,8.42,9.02
Breast,,session_75ddbb8a_20260213_2102.csv,Breast\session_75ddbb8a_20260213_2102.csv,947,8.87,9.47,10.07
Breast,,session_75ddbb8a_20260213_2102.csv,Breast\session_75ddbb8a_20260213_2102.csv,1055,9.95,10.55,11.15
Breast,,session_794d2a20_20260212_2345.csv,Breast\session_794d2a20_20260212_2345.csv,73,0.13,0.73,1.33
Breast,,session_794d2a20_20260212_2345.csv,Breast\session_794d2a20_20260212_2345.csv,182,1.22,1.82,2.42
Breast,,session_794d2a20_20260212_2345.csv,Breast\session_794d2a20_20260212_2345.csv,302,2.42,3.02,3.62
Breast,,session_794d2a20_20260212_2345.csv,Breast\session_794d2a20_20260212_2345.csv,433,3.73,4.33,4.93
Breast,,session_794d2a20_20260212_2345.csv,Breast\session_794d2a20_20260212_2345.csv,560,5.0,5.6,6.2
Breast,,session_794d2a20_20260212_2345.csv,Breast\session_794d2a20_20260212_2345.csv,687,6.27,6.87,7.47
Breast,,session_794d2a20_20260212_2345.csv,Breast\session_794d2a20_20260212_2345.csv,870,8.1,8.7,9.3
Breast,,session_794d2a20_20260212_2345.csv,Breast\session_794d2a20_20260212_2345.csv,957,8.97,9.57,10.17
Breast,,session_794d2a20_20260212_2345.csv,Breast\session_794d2a20_20260212_2345.csv,1094,10.34,10.94,11.54
Breast,,session_794d2a20_20260212_2345.csv,Breast\session_794d2a20_20260212_2345.csv,1231,11.71,12.31,12.91
Breast,,session_a2ee75ca_20260213_2054.csv,Breast\session_a2ee75ca_20260213_2054.csv,50,0.0,0.5,1.1
Breast,,session_a2ee75ca_20260213_2054.csv,Breast\session_a2ee75ca_20260213_2054.csv,136,0.76,1.36,1.96
Breast,,session_a2ee75ca_20260213_2054.csv,Breast\session_a2ee75ca_20260213_2054.csv,221,1.61,2.21,2.81
Breast,,session_a2ee75ca_20260213_2054.csv,Breast\session_a2ee75ca_20260213_2054.csv,311,2.51,3.11,3.71
Breast,,session_a2ee75ca_20260213_2054.csv,Breast\session_a2ee75ca_20260213_2054.csv,403,3.43,4.03,4.63
Breast,,session_a2ee75ca_20260213_2054.csv,Breast\session_a2ee75ca_20260213_2054.csv,485,4.25,4.85,5.45
Breast,,session_a2ee75ca_20260213_2054.csv,Breast\session_a2ee75ca_20260213_2054.csv,575,5.15,5.75,6.35
Breast,,session_a2ee75ca_20260213_2054.csv,Breast\session_a2ee75ca_20260213_2054.csv,672,6.12,6.72,7.32
Breast,,session_a2ee75ca_20260213_2054.csv,Breast\session_a2ee75ca_20260213_2054.csv,756,6.96,7.56,8.16
Breast,,session_a2ee75ca_20260213_2054.csv,Breast\session_a2ee75ca_20260213_2054.csv,851,7.91,8.51,9.11
Breast,,session_a9726e4a_20260212_2351.csv,Breast\session_a9726e4a_20260212_2351.csv,79,0.19,0.79,1.39
Breast,,session_a9726e4a_20260212_2351.csv,Breast\session_a9726e4a_20260212_2351.csv,177,1.17,1.77,2.37
Breast,,session_a9726e4a_20260212_2351.csv,Breast\session_a9726e4a_20260212_2351.csv,282,2.22,2.82,3.42
Breast,,session_a9726e4a_20260212_2351.csv,Breast\session_a9726e4a_20260212_2351.csv,399,3.39,3.99,4.59
Breast,,session_a9726e4a_20260212_2351.csv,Breast\session_a9726e4a_20260212_2351.csv,527,4.67,5.27,5.87
Breast,,session_a9726e4a_20260212_2351.csv,Breast\session_a9726e4a_20260212_2351.csv,643,5.83,6.43,7.03
Breast,,session_a9726e4a_20260212_2351.csv,Breast\session_a9726e4a_20260212_2351.csv,768,7.08,7.68,8.28
Breast,,session_a9726e4a_20260212_2351.csv,Breast\session_a9726e4a_20260212_2351.csv,897,8.37,8.97,9.57
Breast,,session_a9726e4a_20260212_2351.csv,Breast\session_a9726e4a_20260212_2351.csv,1023,9.63,10.23,10.83
Breast,,session_a9726e4a_20260212_2351.csv,Breast\session_a9726e4a_20260212_2351.csv,1151,10.91,11.51,12.11
Breast,,session_a9726e4a_20260212_2351.csv,Breast\session_a9726e4a_20260212_2351.csv,1263,12.03,12.63,13.23
Breast,,session_a9726e4a_20260212_2351.csv,Breast\session_a9726e4a_20260212_2351.csv,1391,13.31,13.91,14.51
Breast,,session_ab8eebf9_20260212_2347.csv,Breast\session_ab8eebf9_20260212_2347.csv,88,0.28,0.88,1.48
Breast,,session_ab8eebf9_20260212_2347.csv,Breast\session_ab8eebf9_20260212_2347.csv,199,1.39,1.99,2.59
